TipoMov 	Angles[0] 	Angles[1] 	Angles[2] 	Angles[3] 	Angles[4] 	gEUD[0] 	gEUD[1] 	gEUD[2] 	gEUD[3] 	globalScore 	weights[0] 	weights[1] 	weights[2] 	
14 Seconds 	DDMs loading begins
0	105	150	185	230	310	76.0	57.2134	41.4069	85.0	0.6206658041443394	0.0	0.0	0.0	x105:	25.6493	20.4163	10.9525	30.0	17.7007	2.55562E-8	30.0	30.0	30.0	19.8331	30.0	30.0	30.0	7.215	27.3124	23.5572	30.0	18.4935	25.1314	19.2371	22.9443	26.2756	30.0	28.1127	24.8345	30.0	30.0	30.0	30.0	18.9664	4.19546E-8	29.6846	16.4886	21.0997	15.0687	11.3787	14.5933	28.3247	24.6712	4.97214E-8	14.8074	30.0	30.0	27.3188	18.2281	19.715	30.0	1.65573E-7	30.0	1.26041E-7	9.70956E-8	1.11489E-7	8.81412	5.78873	4.0422E-8	6.0376	30.0	5.40763E-8	2.60512E-7	20.4801	5.7956	18.0238	1.2277E-6	x150:	3.9248E-7	20.9122	0.557819	19.641	2.01978E-8	30.0	2.80098	12.686	20.724	2.02411	21.9587	22.7411	1.04296E-7	6.44075E-8	4.90241E-6	10.5935	17.647	15.9058	6.32645	11.5723	15.4652	10.6359	4.48803E-8	6.53478	7.76984E-7	6.78042	3.22798	1.54602	4.04759E-8	7.00922E-7	16.789	5.75454E-8	9.66205	7.54004	6.96554	4.4389	6.53645	0.232326	3.6816	0.964355	8.19865E-8	11.3626	14.9173	9.56581	7.09512	9.3496	1.21705E-6	4.159	8.96231E-8	9.88673E-8	13.2617	7.10823	15.1019	7.52644	9.25082	0.817175	1.70806	3.97959E-8	3.78508E-7	2.12394E-7	1.36249E-6	5.4347E-8	2.12428E-7	6.48738	0.198864	4.57614E-7	8.2385	14.5418	x185:	1.32251E-7	5.07342E-8	9.42502E-8	2.24847E-7	8.64455	4.30716E-8	1.4803E-8	2.335E-8	1.43208E-7	5.47857E-7	12.7238	0.508049	4.24706	0.550096	5.5386	5.01775E-8	9.32853E-8	15.2111	3.58916	1.18371E-7	3.32828	1.26017E-7	1.4075	9.5995	2.53374	8.36018E-8	11.3853	1.78541E-7	1.00426	6.02177	0.844104	1.15641	9.52411	1.24243	6.09364E-8	8.78877	2.66473	4.3238	9.76574	0.771138	1.9475	10.6806	2.10178	5.24966E-8	5.27502	7.2192	4.78078	12.3467	3.05709	3.13231E-8	13.3816	2.96772	5.50221E-8	3.2613	28.2515	15.0138	23.5086	9.74727	3.45036E-7	17.2057	2.77794E-8	7.05304E-8	16.3684	30.0	8.22805	2.03871E-8	2.07168E-8	1.12551E-7	3.24208E-7	8.39374E-8	1.19525E-7	x230:	7.77352	8.77112	15.0346	7.95947	7.20323	5.71118	1.07025E-7	4.09016E-8	1.02892E-7	6.26292	9.4909	2.78645E-6	4.97834E-7	2.94395	14.1681	12.8253	2.74779E-8	7.31895E-8	7.01817	5.54271E-7	21.3684	6.16328	7.59976	13.9471	15.4317	7.0205	5.01171E-7	3.20519E-7	9.74789	18.7106	5.33165	5.71152	14.6782	17.8744	10.9445	13.5501	9.3837E-8	30.0	16.4842	4.61082	4.04139	13.3908	21.6353	15.7349	24.8814	4.83573E-8	30.0	29.0659	19.3366	16.5733	23.5428	30.0	30.0	16.168	4.84797E-8	30.0	1.18302E-6	10.8601	7.67695	8.40904	30.0	30.0	13.8578	30.0	7.41977E-7	1.06917E-6	3.36911E-6	7.54919	3.0769E-8	x310:	10.4414	4.70603E-7	1.53629E-6	7.82716	4.54838E-7	8.49701E-8	6.15881E-7	22.5349	1.85514E-7	3.54883E-7	9.05481	9.62277	8.1782	18.4045	1.96756	8.78937E-8	19.1086	4.12553E-7	6.76647E-7	10.8422	10.3579	13.4485	16.4289	0.118226	4.00099E-8	9.09778E-8	0.332874	12.5514	18.6221	17.0493	20.385	18.4466	5.79044	10.0501	4.21103E-8	11.1656	27.0334	18.7809	23.1312	27.8906	22.7661	17.3767	0.10488	2.72347E-8	12.9704	23.8098	20.9573	24.5246	27.4507	14.3545	13.1183	3.22852	2.64875E-8	1.37617E-6	20.3257	19.9098	21.6598	25.6888	7.97749	12.6068	4.81618E-8	17.6156	30.0	30.0	27.0206	0.782592	1.04043E-8	
324 Seconds 	rMIP for beam angle 1 ended, getting better solution
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
214 Seconds 	prepareampl: rMIP fixed solved
214 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
214 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
29 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
0	150	185	230	275	310	76.0	57.093	41.3552	85.0	0.6132659818742239	0.0	0.0	0.0	x150:	1.91258E-6	23.8004	7.49116	20.0672	3.82395E-8	30.0	8.48791	14.3084	21.6482	10.2184	20.9386	23.7293	4.2702E-7	1.21522E-7	7.24367E-6	11.8725	21.0743	14.7863	12.5576	10.8871	21.6977	9.99094	8.6911E-8	4.41928	3.96144E-7	10.928	6.76774	8.69402	1.69604E-7	8.82763	14.9799	1.16019E-7	3.06468	7.83675	11.1784	9.84469	12.2137	0.485778	8.78542	7.78629E-7	1.82276E-7	4.77796	11.3023	10.9708	9.90661	12.1658	1.76006E-7	4.64753	2.25198E-7	2.44831E-7	12.8809	0.00177526	16.4414	7.95757	10.3782	0.0691152	2.75675E-7	9.35723E-8	1.02333E-6	2.77728E-7	1.8996E-7	1.03674E-7	4.8215E-7	4.12385	1.79302	0.60131	8.466	9.78269	x185:	2.91773E-7	1.09322E-7	2.01556E-7	1.03505E-6	12.1234	1.58714E-7	3.25043E-8	4.80695E-8	2.56804E-7	5.52389E-7	14.7245	4.32663	5.25653	3.11263	8.75142	1.08901E-7	1.65658E-7	21.4981	3.40264	3.2772E-6	5.93448	3.76889E-7	1.39413	7.37091	5.68271	1.43561E-7	16.2913	3.72212E-7	3.28474E-7	8.10535	0.635447	2.06902	6.33244	2.84315	1.17635E-7	10.1942	1.50278	1.52135	10.2434	1.96992E-6	1.87571	7.43317	2.29709	1.10654E-7	3.39184	4.9126	2.04588	12.5422	2.28874	7.81937E-8	10.7763	3.71315	1.24284E-7	1.2628E-6	23.0159	11.9431	23.3818	7.5259	8.85458E-8	11.3362	7.1538E-8	1.72433E-7	9.6787	26.4571	2.77162	2.97903E-8	3.99448E-8	2.65569E-7	5.38675E-7	1.40946E-7	2.12995E-7	x230:	8.91159	8.07436	15.2074	5.03606	15.0994	8.09125	5.48111E-7	2.70126E-7	7.66735E-7	10.4453	13.0515	10.3559	7.98492	7.4591	13.5196	18.3307	2.02232E-7	2.23923E-7	11.4326	0.0721419	25.4438	10.512	6.07846	12.8642	17.2809	8.91377	1.4831E-5	5.18522E-7	11.7966	20.7372	8.66407	2.54424	13.3311	17.6308	11.5445	13.9765	1.5866E-7	30.0	18.7212	6.62745	7.31E-7	11.8241	18.6615	14.4266	23.4832	9.62024E-8	30.0	28.6581	17.0277	11.5186	20.3669	25.0861	28.5809	11.1158	1.06517E-7	30.0	1.44114E-6	3.49565	3.12035	2.70591	20.9703	30.0	8.81782	30.0	5.81968E-7	2.11872E-6	7.815E-7	2.11107	7.73109E-8	x275:	1.48433	17.9151	8.88387	2.37331E-6	9.72714	6.03984	1.08152E-7	0.840397	30.0	17.9415	30.0	30.0	28.5496	18.5549	22.238	30.0	5.70958E-7	30.0	29.6575	19.2483	22.0124	19.351	12.7104	18.9157	27.99	19.8417	8.40009E-8	30.0	29.314	29.7661	30.0	30.0	30.0	30.0	16.5304	7.37401E-8	25.0577	20.6519	30.0	18.8816	20.5825	23.3621	21.9395	16.7716	23.1072	25.8824	28.449	14.2323	21.1422	30.0	26.838	6.14757	30.0	20.9634	11.8295	21.0149	17.7406	7.93572E-8	x310:	10.9605	2.73666	4.01016E-5	10.3984	2.65017E-7	2.78529E-7	4.34427	16.89	3.56842E-7	2.46477E-7	6.44429E-7	3.5916	5.66763	14.7986	0.212155	2.65928E-7	14.5428	6.20761E-7	1.03641E-6	6.77268	5.39189	10.0687	13.5947	8.8444E-8	6.52035E-8	2.17357E-7	8.36264E-7	7.71145	11.5678	8.88872	14.0889	14.5483	1.63653	12.0847	9.08186E-8	8.82902	24.0615	12.1147	17.8317	22.3416	18.7508	11.6313	3.51886	5.76312E-8	9.87679	21.742	16.7803	24.9021	25.5434	13.9127	11.8609	5.14233	5.49539E-8	4.56173E-6	18.3534	19.2595	23.141	25.0863	10.2998	14.6705	1.29174E-7	14.9323	30.0	29.3723	29.6902	4.27023E-7	1.74102E-8	
244 Seconds 	rMIP for beam angle 2 ended, getting better solution
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
234 Seconds 	prepareampl: rMIP fixed solved
234 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
234 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
31 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
0	150	185	250	275	310	76.0	56.9616	41.3447	85.0	0.6057775279313939	0.0	0.0	0.0	x150:	2.71005E-6	30.0	15.7641	15.9465	9.67722E-8	30.0	12.7537	11.7654	22.9356	17.9339	17.8711	19.7156	9.85954E-7	3.55155E-7	8.12895E-6	13.0654	19.5072	10.6911	17.9872	7.86791	20.1249	8.66191	2.49857E-7	4.89049	2.96319E-6	9.86728	3.34362	14.1425	4.26486E-7	7.59454	14.0827	3.17703E-7	3.04535	10.4749	9.85801	6.63121	17.629	1.71867	6.73936	6.87819E-7	4.7717E-7	5.1625	15.0035	6.6763	7.3047	16.7115	0.386816	2.45593	1.46982E-6	6.799E-7	13.7835	7.38341	4.95805	8.27577	12.4814	1.12835E-6	3.29821E-7	2.05079E-7	2.46351E-6	1.11774E-6	3.86121E-7	2.94917E-7	1.39732E-6	3.51188	6.84228	5.58132E-6	10.3967	17.8777	x185:	7.84746E-7	2.7637E-7	4.77563E-7	5.37198	12.0141	7.10285E-7	8.55901E-8	1.21623E-7	6.9238E-7	1.70674E-6	15.9754	12.3137	2.52915	3.39467	8.69642	2.92497E-7	4.88795E-7	21.299	3.99568	2.19851E-6	12.8248	6.34246E-6	2.85795	7.84447	6.53866	4.34706E-7	15.9598	2.07796	6.82563E-7	13.4759	1.38847	3.25748	9.79377	2.31858	3.76797E-7	11.842	1.32473	0.847742	12.7981	0.530794	3.17684	12.6763	1.64192	3.08699E-7	8.84306	2.36464	2.32403	11.7486	1.56831	0.00818697	15.7769	3.63233	2.99816E-7	3.07466E-6	18.5999	14.7742	21.4159	6.08477	1.4602E-7	15.8425	2.16684E-7	4.57349E-7	4.28073E-6	22.1271	6.10367E-7	7.78358E-8	1.0434E-7	6.95454E-7	1.27437E-6	3.47298E-7	5.35723E-7	x250:	19.7517	3.13299	11.753	8.01543	8.38103E-6	3.26964	6.5303	15.4742	3.25699	15.6061	6.07119	18.5734	21.4084	1.88788E-7	2.5842E-6	12.1451	1.93722E-6	20.8312	22.222	8.73518	16.1265	21.5727	8.66773	4.42449E-7	6.37565E-6	16.3234	13.653	17.2063	3.25298	14.3904	18.8038	4.82126	30.0	3.15743E-7	30.0	30.0	18.5407	15.0265	24.7662	30.0	26.0573	23.0209	2.49302E-7	30.0	26.3441	25.6157	17.6485	16.6905	30.0	24.1772	24.4455	30.0	9.03894	14.0851	19.2992	10.8502	30.0	30.0	20.6036	4.71796E-5	9.10102	7.47253	1.11441E-5	15.6787	1.7442	x275:	4.79118	19.1445	7.96475E-5	5.3128E-7	4.1099	4.73397	2.17474E-7	4.56474	30.0	17.9608	30.0	30.0	30.0	17.9238	25.4028	30.0	7.48109E-7	30.0	26.4849	17.4344	24.0318	22.2143	12.2665	21.8687	27.9856	5.79275	2.39062E-7	28.1854	16.7551	30.0	29.997	30.0	30.0	28.7933	0.636415	2.03902E-7	25.6493	7.18778	30.0	18.9792	21.1014	18.4481	13.036	6.38024	29.9999	23.4014	30.0	18.8713	25.0738	24.4046	20.3108	9.05313E-5	30.0	30.0	30.0	30.0	15.3181	3.32249E-7	x310:	4.90926	2.03159	2.30898	4.30066	6.35375E-7	8.29076E-7	8.83664	14.4316	1.08869E-6	5.35397E-7	7.59749E-7	5.01671E-6	2.6987	10.6749	2.34978E-6	4.73663E-7	12.5328	2.00111E-6	3.27E-6	1.41361	1.34372	2.28772	6.63659	1.64514E-7	1.90465E-7	5.62443E-7	1.40667E-6	8.43606	4.04708	2.68819	5.75834	7.44689	1.693	15.4734	2.39821E-7	5.97717	29.9999	5.30004	11.3881	15.7181	14.9539	11.8628	5.99682	1.56077E-7	6.76208	26.1057	11.4233	16.5444	18.4742	12.7469	13.5448	7.58002	1.48169E-7	5.61209E-6	17.8657	13.2281	9.83268	17.4471	11.6382	18.0748	2.85786E-7	14.8136	21.1129	6.87154	21.1099	3.33686E-7	4.31648E-8	
265 Seconds 	rMIP for beam angle 3 ended, getting better solution
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
235 Seconds 	prepareampl: rMIP fixed solved
235 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
235 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
29 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
0	125	150	185	250	275	76.0	56.8909	41.1642	85.0	0.5997968903672826	0.0	0.0	0.0	x125:	30.0	29.3017	2.41691	30.0	6.89294	1.25341E-8	30.0	13.3488	20.7776	8.28335	26.1134	30.0	30.0	8.42906E-11	8.5145	30.0	23.1469	17.3615	28.9329	24.2422	21.7298	19.1682	21.1433	30.0	18.5462	11.6452	30.0	29.9719	22.9627	15.7005	3.43457E-8	3.90043	4.76751	18.8	1.63102E-7	17.7142	10.972	3.23373	28.4224	5.9242E-8	1.39978E-6	4.64336E-7	11.5674	2.64097	16.6078	12.2847	9.2513E-8	6.00022E-8	1.03956	1.80644E-7	3.06351E-6	2.17065	14.1441	15.9358	1.8036E-7	5.29054E-7	20.8038	0.155166	9.34715E-7	11.4168	18.6966	4.98547	6.81038	5.15382	x150:	4.52578E-7	30.0	22.0887	4.10264	1.32575E-8	30.0	10.5166	10.204	21.8582	20.8684	7.34504	21.6631	1.41136E-7	4.86388E-8	1.51046E-6	10.7106	14.8017	11.4661	15.7875	0.384824	21.6342	5.82165	3.54042E-8	2.67833	1.4241	0.606452	4.62336	10.3803	3.9882E-8	9.8996	8.89208	4.56305E-8	2.62906	7.27175	0.174457	4.79536	9.73125	2.08227	8.03175	8.49218E-8	5.63605E-8	7.44255	7.71019	2.13911E-6	3.3985	7.15451	0.334304	3.76116	5.15306E-7	6.17347E-8	15.8718	2.61854	6.04941	4.04379	5.79212	0.971491	8.17837E-8	2.67451E-8	2.56406E-7	2.46186E-7	9.23261E-8	3.85283E-8	1.48825E-7	9.74795	13.0337	2.44827E-7	9.64099	20.6142	x185:	1.01302E-7	3.73005E-8	6.48815E-8	6.45402	4.01421	4.40685E-8	1.05909E-8	1.60428E-8	9.02064E-8	3.1228E-7	12.162	15.628	0.526892	4.74393	5.80455	4.01736E-8	6.52848E-8	21.8288	6.91987	1.08905E-7	15.66	0.733717	2.8628	7.33996	4.86347	5.9098E-8	14.3223	6.27223	2.06324	16.5093	4.45708	2.87871	10.6319	0.545063	4.98576E-8	9.44838	6.21442	3.43269	16.4402	5.86197	3.50661	13.8059	0.791818	4.18145E-8	6.68616	6.38899	3.16988	15.1392	7.05865	0.223377	16.7279	2.98237	3.86643E-8	4.54365E-7	18.8419	11.0736	22.901	9.75057	2.28006E-8	17.7753	3.30505E-8	5.54767E-8	3.17989E-7	21.6143	6.91726E-6	1.27625E-8	1.49489E-8	8.34062E-8	1.97138E-7	5.17292E-8	7.65495E-8	x250:	14.2724	3.14831	10.6791	2.18399	2.82745E-7	0.614757	8.87622	8.09317	4.49019	15.6925	3.68476	16.5133	19.3805	1.79456E-8	1.58713E-7	5.03099	2.10778E-7	22.0745	20.2235	7.16745	11.6727	18.7381	5.22838	4.46252E-8	3.0319E-7	15.1079	14.3016	15.4468	2.29166	9.1907	15.7766	2.88609	30.0	4.28003E-8	30.0	30.0	18.2714	15.6411	20.3299	28.9772	26.1659	24.0056	3.33873E-8	30.0	27.4556	27.1455	20.012	14.1524	30.0	26.4744	24.4082	30.0	19.9156	20.2554	22.6053	11.855	30.0	30.0	21.5236	28.8534	22.2514	16.5341	8.83606	14.1002	7.07062	x275:	4.89333	14.7032	2.15131E-6	6.09381E-8	2.59246E-7	0.683617	3.20165E-8	7.04595	30.0	20.8412	30.0	30.0	30.0	16.0063	25.0353	30.0	8.84097E-8	30.0	28.0587	20.0069	22.2096	22.8793	11.5833	22.1205	24.772	3.03476	3.27531E-8	24.2411	22.1699	28.4353	30.0	30.0	30.0	22.6666	6.46985E-7	2.62411E-8	18.5026	17.5026	30.0	19.7502	22.8061	17.6415	8.24043	6.54778	22.0171	30.0	30.0	21.7065	27.6781	26.4869	19.4309	1.39105E-6	30.0	30.0	30.0	30.0	19.41	9.14686E-8	
265 Seconds 	rMIP for beam angle 4 ended, getting better solution
0 Seconds 	generateNeighbourhood_rMIP_fixed begins
0 Seconds 	generateNeighbourhood_rMIP_fixed: Preparation ended, generating DDMs...
0 Seconds 	generateNeighbourhood_rMIP_fixed: DDMs Generated, starting fixed rMIP...
0 Seconds 	solverMIPLogFunction: Starting AMPL
0 Seconds 	solverMIPLogFunction: AMPL Files created
0 Seconds 	prepareampl: AMPL Files loading, Changing fixed angles
0 Seconds 	prepareampl: AMPL Files OK, rMIP fixed solving;
236 Seconds 	prepareampl: rMIP fixed solved
236 Seconds 	generateNeighbourhood_rMIP_fixed: fixed rMIP ended...
236 Seconds 	generateNeighbourhood_rMIP_fixed: starting FMO of fixed beam angle with best of beam vector...
30 Seconds 	generateNeighbourhood_rMIP_fixed: Solved FMO of fixed beam angle with best of beam vector...
0	125	150	230	250	275	76.0	56.821	41.0146	85.0	0.5942527622137166	0.0	0.0	0.0	x125:	30.0	30.0	6.88633	20.8313	10.8652	1.52082E-8	30.0	23.5364	14.3792	7.8389E-7	21.7574	29.134	30.0	1.02409	5.85163	23.8286	19.7193	7.89908	28.7197	24.3276	27.5144	16.3099	18.6911	25.0309	15.9521	8.0777	30.0	30.0	30.0	18.3306	3.9517E-8	6.85121	2.67096	14.5034	1.95941E-7	20.1962	10.3994	6.51705	30.0	6.92943E-8	2.28399E-6	9.95105E-7	8.59499	3.91012	19.6444	9.66318	4.16116E-8	5.83366E-8	1.70854E-6	1.43568E-7	2.70348E-6	6.88779	18.5429	13.3788	5.49323	2.21483E-7	16.3692	0.00656225	8.83736	10.4637	14.9841	21.6126	4.9882	3.48301	x150:	7.08456	29.0098	22.2185	5.5154E-7	1.51131E-8	30.0	1.16885	19.5132	30.0	18.6088	7.88196	25.5353	0.625537	5.7236E-8	30.0	8.87483	15.7928	22.8676	11.9922	2.32564	23.7148	11.5256	3.90959E-8	26.8484	1.20972E-7	2.14365E-7	13.11	5.40528	9.83699E-8	15.6737	9.4641	5.17472E-8	20.1224	4.82828	2.27233	13.2398	7.37564	2.84394	15.1511	1.47527E-7	6.14622E-8	18.652	5.50236	0.328423	10.4094	6.10752	1.1641	13.4951	1.20262E-7	6.98823E-8	15.6481	4.34588	6.23162	12.0435	6.00817	6.22822E-7	5.29545	2.93351E-8	4.27283E-7	8.81803	6.43759E-8	4.35362E-8	2.42146E-7	10.9233	13.6911	1.24152	12.4488	11.9464	x230:	2.21785E-6	7.83171	7.22017	8.69692E-7	13.958	4.85796	4.95418	1.14754E-7	9.95314E-8	1.9165E-6	11.8343	20.4857	15.143	15.2145	1.74701	7.86851	2.07697E-8	5.34809E-8	1.06051	6.78212	17.336	0.420679	12.4046	5.50155	6.68171	8.13913	1.97766E-7	1.20543E-7	11.9112	12.5377	0.86513	9.28049	6.48121	7.08964	10.9692	1.33885	7.12184E-8	21.8011	7.81609	1.26297E-7	3.69406E-7	7.31957E-7	0.216387	10.3047	11.5714	4.42235E-8	30.0	28.3358	16.9724	11.3826	6.19741	1.26718E-7	17.5262	17.922	4.34471E-8	30.0	25.1791	16.5057	7.2637	2.76631	6.67767	30.0	14.2073	30.0	9.45206E-7	7.50285E-7	2.8886	1.10882	6.94895E-8	x250:	14.7353	1.61425	6.19477	1.33336E-6	3.76303E-7	4.16864	13.0388	5.00639	2.11135E-7	5.32549	1.32156	17.5803	12.5512	2.1605E-8	9.22238E-7	10.1676	2.58738E-7	17.5119	25.0526	6.74948	10.7448	11.5257	0.973085	6.34665E-8	5.50488E-7	14.4342	15.5863	21.6803	10.0251	12.0947	11.7633	4.71274	27.0308	5.04521E-8	30.0	30.0	22.7227	27.9862	26.9278	29.5679	30.0	14.8328	3.86065E-8	22.0921	11.4034	20.4271	21.8973	23.0571	30.0	20.3915	9.72298	26.3909	1.44096	13.8657	22.2256	23.5824	23.9138	18.1151	0.271004	29.9955	30.0	29.1386	21.8071	7.24707	6.39157	x275:	4.32549E-6	13.6738	2.20787E-6	1.21927E-7	2.97162E-7	7.24116	4.83242E-8	5.28234	30.0	6.57057	30.0	29.2556	30.0	17.5373	30.0	30.0	8.52346E-8	30.0	4.14003	20.771	20.7155	20.9724	12.8963	24.2376	17.6232	1.95227	3.75246E-8	3.82931E-6	25.7439	27.7575	29.6794	29.8643	30.0	11.2189	0.781913	3.05958E-8	6.37587E-7	26.2517	30.0	26.7745	22.0749	18.3039	3.4325	10.3075	1.52554E-6	30.0	30.0	30.0	27.0766	29.6134	21.0042	0.451283	30.0	20.466	30.0	30.0	23.3973	6.84319E-8	
267 Seconds 	rMIP for beam angle 5 ended, getting better solution
